Date,SPY,IVV,VTI,QQQ,AGG,VWO,IWM,IJR,VTV,BND,VUG,IWF,IJH,GLD,EFA,VIG,IWD,VO,LQD,VB,VGT,XLK,XLF,ITOT,VNQ,VYM,VEU,BSV,IVW,EEM,IAU,DIA,IWR,IWB,MBB,TIP,XLV,XLE,VBR,RSP,IGSB,VV,HYG,IVE,MDY,SHY,XLY,XLI,SDY,PFF,IWN,DVY,SHV,VXF,VBK,SLV,VGK,TLT,IWP,BIV,IEF,GDX,VHT,EWJ,IWS,VOE,IWO
2007/5/18,0.008724939,0.008447456,0.007473949,0.008201733,-0.002906853,0.007079146,0.011760337,0.009418928,0.006433428,-0.002396736,0.005962842,0.007271655,0.006184388,0.007070383,0.007650856,0.003872206,0.007463908,0.007144416,-0.002811399,0.008617244,0.004980814,0.005163113,0.002651081,0.006821213,-0.010091363,0.005092581,0.010914141,-0.001064344,0.007414767,0.005150545,0.006598089,0.006865445,0.007127729,0.006188515,-0.007163858,-0.002601559,0.004115928,0.016179687,0.005230401,0.005037497,-0.000100337,0.006224051,0.000283725,0.005181653,0.007952391,-0.000998237,0.009146135,-0.003387881,0.003060732,-0.00099541,0.007077053,0.003993237,9.16E-05,0.007797617,0.012988382,0.01049333,0.012448805,-0.00662753,0.00761375,-0.00279956,-0.002911933,0.01960259,0.004363437,-0.002799219,0.002674508,0.004700863,0.014661416
2007/5/21,-0.000524701,0,0.002847202,0.006422757,0.002011017,0.002189668,0.012602383,0.011310793,0.002448341,0.001334273,0.001281382,0.001343653,0.008716618,0.002289401,-0.004605372,-0.000350393,0.000785419,0.005724804,0.001315474,0.011255612,0.005309552,0.004346354,0.001057908,0.001473438,0.004024021,0,-0.008849338,0.000666163,0.001154778,0.001813493,0.002591494,-0.002213884,0.005172437,0.001809167,0.005210879,0.002507785,0.002186443,0.008403399,0.008539046,0.002313986,0.000100347,0.002209368,0.000943822,0.001318624,0.007399924,0.000249206,0.003776302,0.005751952,0.002897944,0.000796424,0.010055442,0.001458528,0,0.008187164,0.012133246,0.007362005,-0.007717478,0.002991001,0.006677924,0.001604288,0.001338736,0.011791685,0.002735196,0,0.004714099,0.004356026,0.014807277
2007/5/22,-0.000786241,-0.001700951,-0.000131592,0.000851306,-0.002006981,0.002644511,0.006162045,0.006151034,-0.00040701,-0.001599685,0.000960277,0.000670389,0.00022199,-0.007157016,0.000875162,0.000350516,-0.0023553,0.001237716,-0.003191013,0.006436986,0.004225238,-0.001180366,0.000792038,-0.000147039,0.014829966,0.000905071,0.001428342,-0.00053327,-0.003027164,0.000157311,-0.006537969,-0.000296038,0.001173808,0,-0.000598625,-0.003902675,-0.000545136,-0.009356702,0.006217706,-0.000769792,0,0.000146873,9.43E-05,-0.000359151,0.001153616,0.000250751,-0.001002796,-0.002079928,0.001824609,0.00139387,0.005277532,0.000265043,0,0.007049867,0.005993262,-0.008385203,0.000263593,-0.005161441,0.003403893,-0.002803854,-0.00279505,-0.015454466,0.0017653,0.009824605,-0.000494209,0.002570555,0.007060699
2007/5/23,0.000131331,0.000589692,-0.000528548,-0.004676093,-0.000805269,-0.006536734,-0.002641851,-0.0040296,-0.001492351,-0.000800259,-0.001118827,0.001005522,-0.00188278,0.005214785,0.005122495,0.000526616,0.000899537,-0.002224555,-0.000941732,-0.003864009,-0.008414921,-0.003544726,-0.000791411,-0.000294636,-0.007635813,-0.001446144,0.005884556,-0.000265244,0.00086752,-0.001573758,0.0045914,0.000296126,-0.001803172,-0.000963048,-0.000897449,-0.000101136,0.003547111,0.002065913,-0.004075559,-0.000962501,-0.000896382,-0.000881405,-0.00075415,0.000958209,-6.08E-05,-0.000250688,0.000501843,0.004949718,-0.004402426,0,-0.001550782,-0.004368052,0.000548141,-0.003278828,-0.00338491,0.00473234,0.005403309,-0.002882122,-0.000434868,-0.001204072,-0.00194987,0.011836984,0.00112109,0.001389638,-0.00148231,-0.003044441,-0.003154878
2007/5/24,-0.009053031,-0.008516929,-0.010243453,-0.014307276,0.000402784,-0.021701691,-0.013124669,-0.011579163,-0.00978863,-0.000132972,-0.012642132,-0.011382807,-0.013761149,-0.012053721,-0.009571136,-0.008236818,-0.010895799,-0.012882907,0.001225455,-0.015783839,-0.018034109,-0.012648243,-0.008980703,-0.010226576,-0.016715828,-0.009234132,-0.013472539,0.000399096,-0.008668308,-0.024034907,-0.012187679,-0.005991245,-0.014995308,-0.010362577,0,0.001205918,-0.003806591,-0.018262083,-0.015313765,-0.011174888,0.000996365,-0.009853195,0.000282675,-0.011367596,-0.016858633,0.000375438,-0.008030024,-0.008035708,-0.010521322,-0.001590189,-0.013743177,-0.013693249,0.000182536,-0.014402718,-0.015896682,-0.014130226,-0.009962046,0.000925788,-0.013227694,0.00026797,0.001342207,-0.031281571,-0.003839865,-0.004857515,-0.015402707,-0.012536302,-0.014886803
2007/5/25,0.004170629,0.004229063,0.004874423,0.006282631,-0.000503219,0.019705313,0.006466672,0.00522258,0.007276445,0.00013299,0.008265877,0.005756972,0.005963941,0.002934401,0.00640072,0.005124293,0.005791855,0.007403864,-0.000659474,0.008698209,0.011343358,0.008406876,0.001865831,0.004980526,0.00566729,0.002375416,0.010422024,0.000532734,0.005683994,0.015341413,0.002313366,0.003720652,0.007061302,0.006331303,-0.000499145,0.001405753,-0.000546114,0.015601868,0.007507633,0.005066055,-0.000596975,0.005643695,0.001416443,0.005325513,0.007278654,0.000624462,0.003541567,0.006010005,0.004006336,-0.001792305,0.007997299,0.003774313,0.00018336,0.00757707,0.009802428,0.008771967,0.006619914,-0.002311561,0.003615748,0,-0.001096744,0.004463236,0.001445652,-0.004184025,0.005968421,0.005045589,0.009043333
2007/5/29,0.003625456,0.003553479,0.003986686,0.007750503,-0.001005662,-0.003124401,0.009213465,0.008283773,-0.000954213,-0.001334913,0.002732728,0.004040584,0.005592604,0.002001805,0.001247027,0,0.001693727,0.004858142,-0.001978607,0.007005988,0.005162842,0.005954689,0.004256448,0.003402512,0.035685165,0.002734864,-0.003023366,-0.001198081,0.001449033,-0.003419709,0.003385111,0.002445805,0.005009029,0.001935883,-0.000100427,-0.003006936,0.000546413,-0.006647182,0.007318814,0.002908031,9.96E-05,0.001329607,-0.003959791,0.002408052,0.005817456,-0.000999135,-0.000756095,0.006493694,0.003069894,0.000199666,0.008534633,0.002282481,9.10E-05,0.007430788,0.004648397,0.016770155,-0.000526179,-0.000115993,0.005975249,-0.001473864,-0.002074517,-0.008102446,0.001603818,0.010504094,0.007369366,0.007125768,0.007311647
2007/5/30,0.008145188,0.007539534,0.008603641,0.008117261,0.001208523,0.009866392,0.006726558,0.006266818,0.00832234,0.000936302,0.009939144,0.006035795,0.011679369,-0.005378799,0.004234798,0.007032067,0.009355286,0.013139882,0.000755214,0.007358564,0.00814723,0.007498138,0.006887133,0.007223736,0.026813586,0.00545481,0.004816174,0.000532611,0.007958496,0.010213785,-0.006440702,0.007839388,0.01069187,0.008694522,0.000500244,0.000905128,0.000273057,0.020966845,0.009775502,0.008119078,-0.000299572,0.008849322,0.002272153,0.006725796,0.010167274,0.000749842,0.009081648,0.004386572,0.003825799,0.002592291,0.007032131,0.00375139,0.000456715,0.00941985,0.008981737,0.000381805,0.004737417,0.002084367,0.007425114,0.000670563,0.000977686,0.001053918,-0.002402064,0.002078965,0.009485598,0.01189876,0.003980064
2007/5/31,-0.001042142,-0.000780635,0.001574583,0.004662497,-0.002213923,0.003678082,0.005488519,0.003736016,-0.001353469,-0.000802638,0.002222097,0.006000192,0.00417833,0.012669958,0.004960745,0.002619366,-0.00301513,0.00342602,-0.000848008,0.004516044,0.006500665,0.00470066,-0.002893579,0.001830058,-0.004036806,0.001084724,0.005148305,-0.000265244,0.001578911,0.002843833,0.012347573,7.37E-05,0.003048094,0.000957803,-0.00119825,0.000602547,0.002182664,-0.005243441,0.001831601,0.003451659,0.000399341,0.000877023,-0.001606212,-0.000477154,0.006509566,-0.000624687,0.002499834,0.005396302,-0.001371911,0.001392669,0.003668856,-0.000534234,9.07E-05,0.004753829,0.005395474,0.021525116,0.003274665,-0.001848501,0.007110154,-0.001206511,-0.000365843,0.030797494,0.002086781,0.009682005,0.001105667,0.00143017,0.009211246
2007/6/1,0.004957133,0.004297734,0.004062184,0.00063282,-0.001032932,0.02256109,0.005102827,0.009237725,0.004741723,-0.002308226,0.002850627,0.00397579,0.006022078,0.013732095,0.006540744,0.003481828,0.004703912,0.004877505,-0.003832313,0.007669,0.001745319,0,0.003166121,0.00270279,0.001393408,0.001445263,0.009714023,-0.001925998,0.004156434,0.024968666,0.014788858,0.002348821,0.004201419,0.003828021,-0.002149535,-0.003357526,0.001088889,0.009077359,0.009009995,0.004012948,-0.001449555,0.003505971,-0.000132976,0.004057811,0.003891782,-0.000513264,0.005735768,0.003833525,0.005800413,-0.004012126,0.00707585,0.004807986,0.000155712,0.004819222,0.007244978,0.01897928,0.005482744,-0.00525295,0.003702068,-0.003824723,-0.004308206,0.022982681,0.003203525,0.005479487,0.006625257,0.006347136,0.004852774
