Date,AGG,BND,BSV,GLD,IGSB,LQD,MBB,SHV,SHY,SPY
2007-08-15,0.001319023,0.00013429,0.003187162,-0.002413692,0.001096042,-0.002694212,-0.003628314,0.0010054,0.001365027,-0.013775117
2007-08-16,-0.000608013,-0.000134272,0.001190693,-0.021926463,-0.002091161,-0.009742046,0.004248524,0.001004159,0.001982572,0.007515663
2007-08-17,0.002229618,0.00308149,0.001058935,0.005102069,0.001995888,0.001752765,0.002216544,0.000365069,0.000866059,0.018367339
2007-08-20,-0.000910545,-0.002136982,0.000924067,0.001692057,0.000995391,0.007196286,0.001104856,0.001275854,0.001235178,-0.000483876
2007-08-21,0.004656208,0.003480081,0.002374246,-0.00076786,0.001095196,0.002027327,0.002008354,0.00045484,0.001357166,0.002005062
2007-08-22,-0.000806664,0.0,-0.003027365,0.00507149,-0.001391336,0.002023539,-0.000901207,9.18e-05,-0.001355326,0.011867804
2007-08-23,0.00121005,0.0,-0.002244174,-0.001376207,-0.00049817,0.000480554,0.001303043,-9.18e-05,-0.000616996,-0.000886239
2007-08-24,-0.002517045,0.000933872,0.000660956,0.01224932,-0.000696574,0.00220986,0.000901298,-0.00136459,-0.001852578,0.012353015
2007-08-27,0.003028861,0.003598195,0.001190998,-0.001966378,-0.000697265,-0.002684251,0.003602512,-0.000455331,0.001361311,-0.009303574
2007-08-28,0.00402644,0.002788348,0.003037759,-0.005910988,0.003489579,0.008557361,0.000299873,0.000911154,0.002594711,-0.021980519
2007-08-29,-0.002005261,-0.002251468,-0.001448499,0.00731824,-0.001192396,-0.004576656,-0.001296246,0.00018228,-0.001232166,0.019621657
2007-08-30,0.002109485,0.001725532,0.001714037,-0.004086524,0.001491453,0.002969607,0.000298933,0.000637442,0.000863132,-0.002661194
2007-08-31,0.000602195,0.000662511,-0.000395178,0.010942151,-0.00029719,0.004679099,0.001796213,-0.000181977,0.0,0.009852853
2007-09-04,-0.001117492,-0.000611227,-0.000290165,0.013830515,-0.000948114,-0.002215595,-0.003739692,-1.8e-05,-4.95e-05,0.010095156
2007-09-05,0.003223038,0.003856745,0.00304178,0.001779287,0.002496331,0.003923236,0.002810416,0.000456378,0.002598832,-0.008652911
2007-09-06,-0.000200342,-0.001854824,-0.000791359,0.019242201,-0.001294544,-0.002288504,0.000801449,-0.000456169,-0.001235076,0.002300846
2007-09-07,0.006225699,0.00623836,0.002902505,0.007696758,0.002992032,0.005447276,0.007700054,0.00118758,0.003460924,-0.013906652
2007-09-10,0.00239551,0.002902058,0.001184374,0.003314647,-0.000496793,0.002946174,0.001588484,9.15e-05,0.000368921,-0.001916863
2007-09-11,-0.001792311,-0.002367686,-0.00170857,0.012927232,-0.000597122,-0.005779663,-0.002280117,-9.15e-05,-0.001475585,0.011660047
2007-09-12,-0.001397255,-0.001581668,0.0,-0.000850788,9.98e-05,-0.004098334,-0.001588137,0.000547924,0.000862923,0.002576961
